title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
Klaus,"Animation,Adventure,Comedy",2019,PG,1h 36m,Sergio Pablos,"Carlos Martínez López,Jim Mahoney,J.K. Simmons","Jason Schwartzman,J.K. Simmons,Rashida Jones","November 15, 2019 (United States)",Netflix Animation,799,,,https://www.imdb.com/title/tt4729430/?ref_=adv_li_tt
Honey Boy,Drama,2019,R,1h 34m,Alma Har'el,Lucas Hedges,"Shia LaBeouf,Lucas Hedges,Noah Jupe","November 27, 2019 (United States)",Kindred Spirit,221,,,https://www.imdb.com/title/tt8151874/?ref_=adv_li_tt
Weathering with You,"Animation,Drama,Fantasy",2019,PG-13,1h 52m,Makoto Shinkai,Nana Mori,"Kotaro Daigo,Nana Mori,Tsubasa Honda","January 17, 2020 (United States)",China Film Group Corporation (CFGC),274,,,https://www.imdb.com/title/tt9426210/?ref_=adv_li_tt
Swallow,"Drama,Thriller",2019,R,1h 34m,Carlo Mirabella-Davis,Austin Stowell,"Haley Bennett,Austin Stowell,Denis O'Hare","June 5, 2020 (United States)",Stand Alone Productions,220,,,https://www.imdb.com/title/tt8372298/?ref_=adv_li_tt
Official Secrets,"Biography,Crime,Drama",2019,R,1h 52m,Gavin Hood,"Gregory Bernstein,Matt Smith","Keira Knightley,Matt Smith,Matthew Goode","August 30, 2019 (United States)",Classified Films,254,,,https://www.imdb.com/title/tt5431890/?ref_=adv_li_tt
Ma,"Horror,Mystery,Thriller",2019,R,1h 39m,Tate Taylor,Diana Silvers,"Octavia Spencer,Diana Silvers,Juliette Lewis","May 31, 2019 (United States)",Fuji Television Network,586,,,https://www.imdb.com/title/tt7958736/?ref_=adv_li_tt
Buddy Games,Comedy,2019,R,1h 30m,Josh Duhamel,"Bob Schwartz,Kevin Dillon","Dan Bakkedahl,Kevin Dillon,Josh Duhamel","November 24, 2020 (Canada)",,111,,,https://www.imdb.com/title/tt7070818/?ref_=adv_li_tt
The Beach Bum,Comedy,2019,R,1h 35m,Harmony Korine,Snoop Dogg,"Matthew McConaughey,Snoop Dogg,Isla Fisher","March 29, 2019 (United States)","Grisbi Productions, Le",363,,,https://www.imdb.com/title/tt6511932/?ref_=adv_li_tt
Synchronic,"Crime,Drama,Horror",2019,R,1h 42m,Justin Benson,"Aaron Moorhead,Jamie Dornan","Anthony Mackie,Jamie Dornan,Katie Aselton","October 23, 2020 (United States)",Love & Death Productions (LDP),359,,,https://www.imdb.com/title/tt9016974/?ref_=adv_li_tt
Tolkien,"Biography,Drama,Romance",2019,PG-13,1h 52m,Dome Karukoski,"Stephen Beresford,Lily Collins","Nicholas Hoult,Lily Collins,Colm Meaney","May 10, 2019 (United States)",,264,,,https://www.imdb.com/title/tt3361792/?ref_=adv_li_tt
The Cave,"Action,Adventure,Drama",2019,,,Tom Waller,"Don Linder,Ekawat Niratvorapanya","Jim Warny,Ekawat Niratvorapanya,James Edward Holley","November 21, 2019 (Thailand)",,27,,,https://www.imdb.com/title/tt8726180/?ref_=adv_li_tt
The Red Sea Diving Resort,"Drama,History,Thriller",2019,TV-MA,2h 9m,Gideon Raff,Sizo Mahlangu,"Mbulelo Grootboom,Sizo Mahlangu,Michael Kenneth Williams","July 31, 2019 (United States)",Shaken Not Stirred,224,,,https://www.imdb.com/title/tt4995776/?ref_=adv_li_tt
The Kindness of Strangers,Drama,2019,Not Rated,1h 52m,Lone Scherfig,Esben Smed,"Zoe Kazan,Esben Smed,Jack Fulton","February 14, 2020 (United States)",Copenhagen Film Fund,84,,,https://www.imdb.com/title/tt6515910/?ref_=adv_li_tt
The Professor and the Madman,"Biography,Drama,History",2019,Not Rated,2h 4m,Farhad Safinia,"Farhad Safinia,Sean Penn","Mel Gibson,Sean Penn,Eddie Marsan","May 10, 2019 (United States)",Definition Films,470,,,https://www.imdb.com/title/tt5932728/?ref_=adv_li_tt
Jungleland,Drama,2019,R,1h 30m,Max Winkler,"David Branson Smith,Jack O'Connell","Charlie Hunnam,Jack O'Connell,Naheem Garcia","November 6, 2020 (United States)",,63,,,https://www.imdb.com/title/tt8710596/?ref_=adv_li_tt
Tall Girl,"Comedy,Drama,Family",2019,TV-PG,1h 41m,Nzingha Stewart,Griffin Gluck,"Ava Michelle,Griffin Gluck,Sabrina Carpenter","September 13, 2019 (United States)",,393,,,https://www.imdb.com/title/tt9252508/?ref_=adv_li_tt
Make Up,"Drama,Mystery,Thriller",2019,TV-MA,1h 26m,Claire Oakley,Joseph Quinn,"Molly Windsor,Joseph Quinn,Stefanie Martini","November 13, 2020 (United States)",Creative England,37,,,https://www.imdb.com/title/tt8362736/?ref_=adv_li_tt
Escape Plan: The Extractors,"Action,Crime,Thriller",2019,R,1h 37m,John Herzfeld,"John Herzfeld,Dave Bautista","Sylvester Stallone,Dave Bautista,50 Cent","July 2, 2019 (United States)",Diamond Film Productions,214,,,https://www.imdb.com/title/tt6772804/?ref_=adv_li_tt
Pain and Glory,Drama,2019,R,1h 53m,Pedro Almodóvar,Asier Etxeandia,"Antonio Banderas,Asier Etxeandia,Leonardo Sbaraglia","October 4, 2019 (United States)",El Deseo,204,,,https://www.imdb.com/title/tt8291806/?ref_=adv_li_tt
Zeroville,"Comedy,Drama,Mystery",2019,R,1h 36m,James Franco,"Ian Olds,Megan Fox","James Franco,Megan Fox,Seth Rogen","September 27, 2019 (United States)",,66,,,https://www.imdb.com/title/tt1881109/?ref_=adv_li_tt
Above Suspicion,"Action,Biography,Crime",2019,R,1h 44m,Phillip Noyce,"Chris Gerolmo,Jack Huston","Emilia Clarke,Jack Huston,Sophie Lowe","May 7, 2021 (United States)",White Knight,81,,,https://www.imdb.com/title/tt5688068/?ref_=adv_li_tt
Only Mine,"Drama,Thriller",2019,TV-14,1h 27m,Michael Civille,Brett Zimmerman,"Amber Midthunder,Brett Zimmerman,Chris Browning","January 15, 2019 (United States)",,111,,,https://www.imdb.com/title/tt9271164/?ref_=adv_li_tt
The Angry Birds Movie 2,"Animation,Action,Adventure",2019,PG,1h 37m,Thurop Van Orman,"John Rice,Eyal Podell,Josh Gad","Jason Sudeikis,Josh Gad,Leslie Jones","August 14, 2019 (United States)",Rovio Entertainment,189,,,https://www.imdb.com/title/tt6095472/?ref_=adv_li_tt
True History of the Kelly Gang,"Biography,Crime,Drama",2019,R,2h 4m,Justin Kurzel,"Peter Carey,Essie Davis","George MacKay,Essie Davis,Nicholas Hoult","April 24, 2020 (United States)",Film Victoria,238,,,https://www.imdb.com/title/tt4844140/?ref_=adv_li_tt
Haunt,"Horror,Thriller",2019,R,1h 32m,Scott Beck,"Bryan Woods,Bryan Woods,Will Brittain","Katie Stevens,Will Brittain,Lauryn Alisa McClain","September 13, 2019 (United States)",Nickel City Pictures,385,,,https://www.imdb.com/title/tt6535880/?ref_=adv_li_tt
Chhichhore,"Comedy,Drama,Romance",2019,Not Rated,2h 23m,Nitesh Tiwari,"Nikhil Mehrotra,Shraddha Kapoor","Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma","September 6, 2019 (United States)",Nadiadwala Grandson Entertainment,727,,,https://www.imdb.com/title/tt9052870/?ref_=adv_li_tt
Someone Great,"Comedy,Romance",2019,R,1h 32m,Jennifer Kaytin Robinson,LaKeith Stanfield,"Gina Rodriguez,LaKeith Stanfield,Brittany Snow","April 19, 2019 (United States)",Likely Story,228,,,https://www.imdb.com/title/tt8075260/?ref_=adv_li_tt
The Good Liar,"Crime,Drama,Mystery",2019,R,1h 49m,Bill Condon,"Jeffrey Hatcher,Ian McKellen","Helen Mirren,Ian McKellen,Russell Tovey","November 15, 2019 (United States)",New Line Cinema,404,,,https://www.imdb.com/title/tt5563334/?ref_=adv_li_tt
Dreamland,"Drama,Thriller",2019,R,1h 38m,Miles Joris-Peyrafitte,Margot Robbie,"Finn Cole,Margot Robbie,Travis Fimmel","November 17, 2020 (United States)",LuckyChap Entertainment,68,,,https://www.imdb.com/title/tt5294522/?ref_=adv_li_tt
Isn't It Romantic,"Comedy,Fantasy,Musical",2019,PG-13,1h 29m,Todd Strauss-Schulson,"Dana Fox,Liam Hemsworth","Rebel Wilson,Liam Hemsworth,Adam Devine","February 13, 2019 (United States)",Creative Wealth Media Finance,451,,,https://www.imdb.com/title/tt2452244/?ref_=adv_li_tt
Danger Close,"Action,Drama,War",2019,R,1h 58m,Kriv Stenders,"James Nicholas,Toby Blome","Travis Fimmel,Toby Blome,Alexander England","November 8, 2019 (United States)",Ingenious Media,262,,,https://www.imdb.com/title/tt0441881/?ref_=adv_li_tt
And Then We Danced,"Drama,Romance",2019,Not Rated,1h 53m,Levan Akin,Bachi Valishvili,"Levan Gelbakhiani,Bachi Valishvili,Ana Javakishvili","February 7, 2020 (United States)",AMA Productions,95,,,https://www.imdb.com/title/tt8963708/?ref_=adv_li_tt
The Tunnel,"Drama,Thriller",2019,,,Pål Øie,Ylva Fuglerud,"Thorbjørn Harr,Ylva Fuglerud,Lisa Carlehed","December 25, 2019 (Norway)",,55,,,https://www.imdb.com/title/tt9049042/?ref_=adv_li_tt
Blackbird,Drama,2019,R,1h 37m,Roger Michell,Susan Sarandon,"Sam Neill,Susan Sarandon,Anson Boon","September 18, 2020 (United States)",MEP Capital,59,,,https://www.imdb.com/title/tt8717446/?ref_=adv_li_tt
The Golden Glove,"Crime,Drama,Thriller",2019,Not Rated,1h 55m,Fatih Akin,"Heinz Strunk,Margarete Tiesel","Jonas Dassler,Margarete Tiesel,Katja Studt","February 21, 2019 (Germany)",Pathé,76,,,https://www.imdb.com/title/tt7670212/?ref_=adv_li_tt
Instinct,"Drama,Thriller",2019,,,Halina Reijn,"Halina Reijn,Marwan Kenzari","Carice van Houten,Marwan Kenzari,Marie-Mae van Zuilen","October 3, 2019 (Netherlands)",BNN-VARA,22,,,https://www.imdb.com/title/tt8386898/?ref_=adv_li_tt
Buffaloed,"Comedy,Drama",2019,Not Rated,1h 35m,Tanya Wexler,Jai Courtney,"Zoey Deutch,Jai Courtney,Judy Greer","June 1, 2020 (United Kingdom)",Particular Crowd,69,,,https://www.imdb.com/title/tt8647310/?ref_=adv_li_tt
Lucy in the Sky,"Drama,Romance,Sci-Fi",2019,R,2h 4m,Noah Hawley,"Elliott DiGuiseppi,Jon Hamm","Natalie Portman,Jon Hamm,Zazie Beetz","October 4, 2019 (United States)",,138,,,https://www.imdb.com/title/tt4682804/?ref_=adv_li_tt
Angel of Mine,"Drama,Mystery,Thriller",2019,R,1h 38m,Kim Farrant,"David Regal,Rebecca Bower","Noomi Rapace,Rebecca Bower,Luke Evans","August 30, 2019 (United States)",MEP Capital,116,,,https://www.imdb.com/title/tt7058080/?ref_=adv_li_tt
Skyfire,"Action,Adventure,Drama",2019,Not Rated,1h 37m,Simon West,"Sidney King,Alice Rietveld","Bee Rogers,Alice Rietveld,Xueqi Wang","February 12, 2021 (United States)","China Film Co., Ltd.",81,,,https://www.imdb.com/title/tt9203190/?ref_=adv_li_tt
Disappearance at Clifton Hill,"Drama,Mystery,Thriller",2019,Unrated,1h 40m,Albert Shin,"Albert Shin,Mikayla Radan","Addison Tymec,Mikayla Radan,Tim Beresford","February 28, 2020 (United States)",,90,,,https://www.imdb.com/title/tt5919756/?ref_=adv_li_tt
Plus One,"Comedy,Drama,Romance",2019,Not Rated,1h 38m,Jeff Chan,"Andrew Rhymer,Andrew Rhymer,Maya Erskine","Jack Quaid,Maya Erskine,Beck Bennett","June 14, 2019 (United States)",Firewatch,114,,,https://www.imdb.com/title/tt7645122/?ref_=adv_li_tt
Let It Snow,"Comedy,Romance",2019,PG-13,1h 32m,Luke Snellin,"Victoria Strouse,Shameik Moore","Isabela Merced,Shameik Moore,Odeya Rush","November 8, 2019 (United States)",,207,,,https://www.imdb.com/title/tt1950235/?ref_=adv_li_tt
Abominable,"Animation,Adventure,Comedy",2019,PG,1h 37m,Jill Culton,"Todd Wilderman,Albert Tsai","Chloe Bennet,Albert Tsai,Tenzing Norgay Trainor","September 27, 2019 (United States)",China Film Co-Production,293,,,https://www.imdb.com/title/tt6324278/?ref_=adv_li_tt
Black and Blue,"Action,Thriller",2019,R,1h 48m,Deon Taylor,Tyrese Gibson,"Naomie Harris,Tyrese Gibson,Frank Grillo","October 25, 2019 (United States)",Royal Viking Entertainment,394,,,https://www.imdb.com/title/tt7390646/?ref_=adv_li_tt
Robert the Bruce,"Biography,Drama,History",2019,,,Richard Gray,"Angus Macfadyen,Diarmaid Murtagh","Angus Macfadyen,Diarmaid Murtagh,Jared Harris","June 28, 2019 (United Kingdom)",Screen Media Films,185,,,https://www.imdb.com/title/tt8000908/?ref_=adv_li_tt
Wasp Network,"Crime,Drama,Thriller",2019,TV-MA,2h 7m,Olivier Assayas,"Fernando Morais,Edgar Ramírez","Penélope Cruz,Edgar Ramírez,Gael García Bernal","June 19, 2020 (United States)",Nostromo Pictures,122,,,https://www.imdb.com/title/tt6760876/?ref_=adv_li_tt
First Cow,"Drama,Western",2019,PG-13,2h 2m,Kelly Reichardt,"Kelly Reichardt,John Magaro","Alia Shawkat,John Magaro,Dylan Smith","July 10, 2020 (United States)",Film Science,165,,,https://www.imdb.com/title/tt9231040/?ref_=adv_li_tt
One Piece: Stampede,"Animation,Action,Adventure",2019,TV-14,1h 41m,Takashi Otsuka,"Takashi Otsuka,Greg Ayres","Felecia Angelle,Greg Ayres,Tia Lynn Ballard","October 24, 2019 (United States)",,70,,,https://www.imdb.com/title/tt9430698/?ref_=adv_li_tt
3022,Sci-Fi,2019,R,1h 31m,John Suits,Kate Walsh,"Omar Epps,Kate Walsh,Angus Macfadyen","June 30, 2020 (South Korea)",Natural Selection,205,,,https://www.imdb.com/title/tt9465600/?ref_=adv_li_tt
Impetigore,"Horror,Mystery,Thriller",2019,Not Rated,1h 46m,Joko Anwar,Ario Bayu,"Tara Basro,Ario Bayu,Marissa Anita","July 23, 2020 (United States)",Ivanhoe Pictures,78,,,https://www.imdb.com/title/tt9000302/?ref_=adv_li_tt
Girl on the Third Floor,"Drama,Horror,Mystery",2019,TV-MA,1h 33m,Travis Stevens,"Trent Haaga,Trieste Kelly Dunn","CM Punk,Trieste Kelly Dunn,Sarah Brooks","October 25, 2019 (United States)",,310,,,https://www.imdb.com/title/tt9026184/?ref_=adv_li_tt
Seberg,"Biography,Drama,Thriller",2019,R,1h 42m,Benedict Andrews,"Anna Waterhouse,Yvan Attal","Kristen Stewart,Yvan Attal,Gabriel Sky","December 13, 2019 (United States)",Automatik Entertainment,104,,,https://www.imdb.com/title/tt1780967/?ref_=adv_li_tt
Sacrifice,Thriller,2019,TV-14,1h 16m,Chris Stokes,"Chris Stokes,Juan Antonio","Paula Patton,Juan Antonio,Erica Ash","December 19, 2019 (United States)",,27,,,https://www.imdb.com/title/tt10806810/?ref_=adv_li_tt
"Berlin, I Love You","Drama,Romance",2019,R,2h,Dianna Agron,"Peter Chelsom,Justin Franklin,Helen Mirren","Keira Knightley,Helen Mirren,Luke Wilson","February 8, 2019 (United States)",Shotz Production Service,65,,,https://www.imdb.com/title/tt2275743/?ref_=adv_li_tt
Close,"Action,Drama,Thriller",2019,TV-MA,1h 34m,Vicky Jewson,"Rupert Whitaker,Olivia Jewson","Noomi Rapace,Olivia Jewson,Abdellatif Chaouqi","January 18, 2019 (United States)",Whitaker Media,305,,,https://www.imdb.com/title/tt5316540/?ref_=adv_li_tt
Burn,"Comedy,Crime,Thriller",2019,R,1h 28m,Mike Gan,Josh Hutcherson,"Tilda Cobham-Hervey,Josh Hutcherson,Suki Waterhouse","August 23, 2019 (United States)",Film Mode Entertainment,79,,,https://www.imdb.com/title/tt8009314/?ref_=adv_li_tt
The Mortuary Collection,"Fantasy,Horror",2019,Not Rated,1h 48m,Ryan Spindell,Eden Campbell,"Tristan Byon,Eden Campbell,Hannah R. Loyd","October 15, 2020 (United States)",,142,,,https://www.imdb.com/title/tt7781432/?ref_=adv_li_tt
We Summon the Darkness,"Horror,Music,Thriller",2019,R,1h 31m,Marc Meyers,Keean Johnson,"Alexandra Daddario,Keean Johnson,Maddie Hasson","April 10, 2020 (United States)",Magna Entertainment,215,,,https://www.imdb.com/title/tt8058874/?ref_=adv_li_tt
Beyond the Law,"Action,Crime",2019,Not Rated,1h 29m,James Cullen Bressack,"Johnny Walters,Steven Seagal","Johnny Messner,Steven Seagal,DMX","December 6, 2019 (United States)",Charach Productions,57,,,https://www.imdb.com/title/tt11161374/?ref_=adv_li_tt
