title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
Booksmart,Comedy,2019,R,1h 42m,Olivia Wilde,"Sarah Haskins,Beanie Feldstein","Kaitlyn Dever,Beanie Feldstein,Jessica Williams","May 24, 2019 (United States)",,800,,,https://www.imdb.com/title/tt1489887/?ref_=adv_li_tt
Ad Astra,"Adventure,Drama,Mystery",2019,PG-13,2h 3m,James Gray,"Ethan Gross,Tommy Lee Jones","Brad Pitt,Tommy Lee Jones,Ruth Negga","September 20, 2019 (United States)",CAA Media Finance,3.3K,,,https://www.imdb.com/title/tt2935510/?ref_=adv_li_tt
Once Upon a Time... In Hollywood,"Comedy,Drama",2019,R,2h 41m,Quentin Tarantino,Brad Pitt,"Leonardo DiCaprio,Brad Pitt,Margot Robbie","July 26, 2019 (United States)",Heyday Films,5.7K,,,https://www.imdb.com/title/tt7131622/?ref_=adv_li_tt
Queen of Hearts,Drama,2019,Not Rated,2h 7m,May el-Toukhy,"May el-Toukhy,Gustav Lindh","Trine Dyrholm,Gustav Lindh,Magnus Krepper","November 19, 2019 (United States)",Svenska Filminstitutet (SFI),45,,,https://www.imdb.com/title/tt8378126/?ref_=adv_li_tt
Toy Story 4,"Animation,Adventure,Comedy",2019,G,1h 40m,Josh Cooley,"Andrew Stanton,Tim Allen","Tom Hanks,Tim Allen,Annie Potts","June 21, 2019 (United States)",,1.4K,,,https://www.imdb.com/title/tt1979376/?ref_=adv_li_tt
Richard Jewell,"Biography,Crime,Drama",2019,R,2h 11m,Clint Eastwood,"Marie Brenner,Sam Rockwell","Paul Walter Hauser,Sam Rockwell,Brandon Stanley","December 13, 2019 (United States)",75 Year Plan Productions,610,,,https://www.imdb.com/title/tt3513548/?ref_=adv_li_tt
The Platform,"Horror,Sci-Fi,Thriller",2019,TV-MA,1h 34m,Galder Gaztelu-Urrutia,"Pedro Rivero,Zorion Eguileor","Ivan Massagué,Zorion Eguileor,Antonia San Juan","March 20, 2020 (United States)",Plataforma La Película AIE,1.1K,,,https://www.imdb.com/title/tt8228288/?ref_=adv_li_tt
Aladdin,"Adventure,Comedy,Family",2019,PG,2h 8m,Guy Ritchie,"Guy Ritchie,Mena Massoud","Will Smith,Mena Massoud,Naomi Scott","May 24, 2019 (United States)",Rideback,2.4K,,,https://www.imdb.com/title/tt6139732/?ref_=adv_li_tt
Fast & Furious Presents: Hobbs & Shaw,"Action,Adventure,Thriller",2019,PG-13,2h 17m,David Leitch,"Drew Pearce,Jason Statham","Dwayne Johnson,Jason Statham,Idris Elba","August 2, 2019 (United States)",Seven Bucks Productions,1.4K,,,https://www.imdb.com/title/tt6806448/?ref_=adv_li_tt
The Outpost,"Action,Drama,History",2019,R,2h 3m,Rod Lurie,"Eric Johnson,Caleb Landry Jones","Scott Eastwood,Caleb Landry Jones,Orlando Bloom","July 3, 2020 (United States)",York Films,345,,,https://www.imdb.com/title/tt3833480/?ref_=adv_li_tt
Polar,"Action,Thriller",2019,TV-MA,1h 58m,Jonas Åkerlund,"Víctor Santos,Vanessa Hudgens","Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick","January 25, 2019 (United States)",Dark Horse Entertainment,1K,,,https://www.imdb.com/title/tt4139588/?ref_=adv_li_tt
Terminator: Dark Fate,"Action,Adventure,Sci-Fi",2019,R,2h 8m,Tim Miller,"Justin Rhodes,Arnold Schwarzenegger","Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis","November 1, 2019 (United States)",Twentieth Century Fox,3.2K,,,https://www.imdb.com/title/tt6450804/?ref_=adv_li_tt
The Lion King,"Animation,Adventure,Drama",2019,PG,1h 58m,Jon Favreau,"Irene Mecchi,Beyoncé","Donald Glover,Beyoncé,Seth Rogen","July 19, 2019 (United States)",,3.1K,,,https://www.imdb.com/title/tt6105098/?ref_=adv_li_tt
Zombieland: Double Tap,"Action,Comedy,Horror",2019,R,1h 39m,Ruben Fleischer,"Paul Wernick,Jesse Eisenberg","Woody Harrelson,Jesse Eisenberg,Emma Stone","October 18, 2019 (United States)",Pariah,820,,,https://www.imdb.com/title/tt1560220/?ref_=adv_li_tt
Downton Abbey,"Drama,Romance",2019,PG,2h 2m,Michael Engler,Michael Fox,"Stephen Campbell Moore,Michael Fox,Lesley Nicol","September 20, 2019 (United States)",Perfect World Pictures,500,,,https://www.imdb.com/title/tt6398184/?ref_=adv_li_tt
A Beautiful Day in the Neighborhood,"Biography,Drama",2019,PG,1h 49m,Marielle Heller,"Noah Harpster,Matthew Rhys","Tom Hanks,Matthew Rhys,Chris Cooper","November 22, 2019 (United States)",TriStar Pictures,707,,,https://www.imdb.com/title/tt3224458/?ref_=adv_li_tt
The Wretched,"Horror,Mystery",2019,Not Rated,1h 35m,Brett Pierce,"Drew T. Pierce,Drew T. Pierce,Piper Curda","John-Paul Howard,Piper Curda,Jamison Jones","May 1, 2020 (United States)",,253,,,https://www.imdb.com/title/tt8305806/?ref_=adv_li_tt
The Lodge,"Drama,Horror,Mystery",2019,R,1h 48m,Severin Fiala,"Veronika Franz,Veronika Franz,Jaeden Martell","Riley Keough,Jaeden Martell,Lia McHugh","January 16, 2020 (Italy)",,720,,,https://www.imdb.com/title/tt7347846/?ref_=adv_li_tt
"The Gangster, the Cop, the Devil","Action,Crime,Thriller",2019,Not Rated,1h 49m,Won-Tae Lee,Jeon Bae-soo,"Ma Dong-seok,Jeon Bae-soo,Mu-Yeol Kim","May 15, 2019 (South Korea)",BA Entertainment,95,,,https://www.imdb.com/title/tt10208198/?ref_=adv_li_tt
How to Train Your Dragon: The Hidden World,"Animation,Action,Adventure",2019,PG,1h 44m,Dean DeBlois,"Cressida Cowell,America Ferrera","Jay Baruchel,America Ferrera,F. Murray Abraham","February 22, 2019 (United States)",Dentsu,712,,,https://www.imdb.com/title/tt2386490/?ref_=adv_li_tt
Curiosa,"Biography,Drama,History",2019,,,Lou Jeunet,"Raphaëlle Desplechin,Niels Schneider","Noémie Merlant,Niels Schneider,Benjamin Lavernhe","April 3, 2019 (France)",Memento Films,12,,,https://www.imdb.com/title/tt7598076/?ref_=adv_li_tt
Saint Maud,"Drama,Horror,Mystery",2019,R,1h 24m,Rose Glass,Caoilfhionn Dunne,"Morfydd Clark,Caoilfhionn Dunne,Jennifer Ehle","February 12, 2021 (United States)",BFI Film Fund,429,,,https://www.imdb.com/title/tt7557108/?ref_=adv_li_tt
A Call to Spy,"Biography,Crime,Drama",2019,PG-13,2h 3m,Lydia Dean Pilcher,Stana Katic,"Sarah Megan Thomas,Stana Katic,Radhika Apte","October 2, 2020 (United States)",,130,,,https://www.imdb.com/title/tt7698468/?ref_=adv_li_tt
In the Shadow of the Moon,"Crime,Mystery,Sci-Fi",2019,TV-MA,1h 55m,Jim Mickle,"Geoffrey Tock,Cleopatra Coleman","Boyd Holbrook,Cleopatra Coleman,Bokeem Woodbine","September 27, 2019 (United States)",Belladonna Productions,655,,,https://www.imdb.com/title/tt8110640/?ref_=adv_li_tt
Scary Stories to Tell in the Dark,"Adventure,Horror,Mystery",2019,PG-13,1h 48m,André Øvredal,"Kevin Hageman,Michael Garza","Zoe Margaret Colletti,Michael Garza,Gabriel Rush","August 9, 2019 (United States)",Roling Hills Productions,736,,,https://www.imdb.com/title/tt3387520/?ref_=adv_li_tt
Pokémon: Detective Pikachu,"Action,Adventure,Comedy",2019,PG,1h 44m,Rob Letterman,"Benji Samit,Justice Smith","Ryan Reynolds,Justice Smith,Kathryn Newton","May 10, 2019 (United States)",The Pokemon Company,971,,,https://www.imdb.com/title/tt5884052/?ref_=adv_li_tt
21 Bridges,"Crime,Drama,Thriller",2019,R,1h 39m,Brian Kirk,"Matthew Michael Carnahan,Sienna Miller","Chadwick Boseman,Sienna Miller,J.K. Simmons","November 22, 2019 (United States)",Huayi Brothers,534,,,https://www.imdb.com/title/tt8688634/?ref_=adv_li_tt
Waves,"Drama,Romance,Sport",2019,R,2h 15m,Trey Edward Shults,Lucas Hedges,"Kelvin Harrison Jr.,Lucas Hedges,Taylor Russell","November 15, 2019 (United States)",,198,,,https://www.imdb.com/title/tt8652728/?ref_=adv_li_tt
Fractured,Thriller,2019,TV-MA,1h 39m,Brad Anderson,Lily Rabe,"Sam Worthington,Lily Rabe,Lucy Capri","October 11, 2019 (United States)",Crow Island Films,1.1K,,,https://www.imdb.com/title/tt4332232/?ref_=adv_li_tt
Sound of Metal,"Drama,Music",2019,R,2h,Darius Marder,"Abraham Marder,Olivia Cooke","Riz Ahmed,Olivia Cooke,Paul Raci","December 4, 2020 (United States)",Ward Four,586,,,https://www.imdb.com/title/tt5363618/?ref_=adv_li_tt
Good Boys,"Adventure,Comedy",2019,R,1h 30m,Gene Stupnitsky,"Gene Stupnitsky,Keith L. Williams","Jacob Tremblay,Keith L. Williams,Brady Noon","August 16, 2019 (United States)",Point Grey Pictures,643,,,https://www.imdb.com/title/tt6977338/?ref_=adv_li_tt
"Extremely Wicked, Shockingly Evil and Vile","Biography,Crime,Drama",2019,R,1h 50m,Joe Berlinger,"Michael Werwie,Zac Efron","Lily Collins,Zac Efron,Angela Sarafyan","May 3, 2019 (United States)",Voltage Pictures,691,,,https://www.imdb.com/title/tt2481498/?ref_=adv_li_tt
Rambo: Last Blood,"Action,Crime,Thriller",2019,R,1h 29m,Adrian Grunberg,"Sylvester Stallone,Paz Vega","Sylvester Stallone,Paz Vega,Sergio Peris-Mencheta","September 20, 2019 (United States)",Campbell Grobman Films,1.7K,,,https://www.imdb.com/title/tt1206885/?ref_=adv_li_tt
Gemini Man,"Action,Adventure,Sci-Fi",2019,PG-13,1h 57m,Ang Lee,"Billy Ray,Mary Elizabeth Winstead","Will Smith,Mary Elizabeth Winstead,Clive Owen","October 11, 2019 (United States)",Fosun Group Forever Pictures,1.2K,,,https://www.imdb.com/title/tt1025100/?ref_=adv_li_tt
Countdown,"Horror,Thriller",2019,PG-13,1h 30m,Justin Dec,Jordan Calloway,"Elizabeth Lail,Jordan Calloway,Talitha Eliana Bateman","October 25, 2019 (United States)",Wrigley Pictures,442,,,https://www.imdb.com/title/tt10039344/?ref_=adv_li_tt
Shaft,"Action,Comedy,Crime",2019,R,1h 51m,Tim Story,"Kenya Barris,Jessie T. Usher","Samuel L. Jackson,Jessie T. Usher,Richard Roundtree","June 14, 2019 (United States)",Netflix,378,,,https://www.imdb.com/title/tt4463894/?ref_=adv_li_tt
A Hidden Life,"Biography,Drama,Romance",2019,PG-13,2h 54m,Terrence Malick,Valerie Pachner,"August Diehl,Valerie Pachner,Maria Simon","January 17, 2020 (United Kingdom)",Elizabeth Bay Productions,260,,,https://www.imdb.com/title/tt5827916/?ref_=adv_li_tt
Last Christmas,"Comedy,Drama,Fantasy",2019,PG-13,1h 43m,Paul Feig,"Emma Thompson,Emma Thompson","Madison Ingoldsby,Emma Thompson,Boris Isakovic","November 8, 2019 (United States)",Perfect World Pictures,922,,,https://www.imdb.com/title/tt8623904/?ref_=adv_li_tt
Cold Pursuit,"Action,Comedy,Crime",2019,R,1h 59m,Hans Petter Moland,"Kim Fupz Aakeson,Laura Dern","Liam Neeson,Laura Dern,Micheál Richardson","February 8, 2019 (United States)",MAS Production,761,,,https://www.imdb.com/title/tt5719748/?ref_=adv_li_tt
