title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
Emily the Criminal,"Crime,Drama,Thriller",2022,R,1h 37m,John Patton Ford,Theo Rossi,"Aubrey Plaza,Theo Rossi,Bernardo Badillo","August 12, 2022 (Canada)",,34,,,https://www.imdb.com/title/tt15255876/?ref_=adv_li_tt
Day Shift,"Action,Comedy,Fantasy",2022,R,1h 53m,J.J. Perry,"Shay Hatten,Dave Franco","Jamie Foxx,Dave Franco,Natasha Liu Bordizzo","August 12, 2022 (United States)",,509,,,https://www.imdb.com/title/tt13314558/?ref_=adv_li_tt
The Invitation,"Horror,Thriller",2022,PG-13,1h 44m,Jessica M. Thompson,"Jessica M. Thompson,Thomas Doherty","Nathalie Emmanuel,Thomas Doherty,Stephanie Corneliussen","August 26, 2022 (United States)",,31,,,https://www.imdb.com/title/tt12873562/?ref_=adv_li_tt
Avatar: The Way of Water,"Action,Adventure,Sci-Fi",2022,,,James Cameron,"Josh Friedman,Zoe Saldana","Michelle Yeoh,Zoe Saldana,Kate Winslet","December 16, 2022 (United States)",Lightstorm Entertainment,,,,https://www.imdb.com/title/tt1630029/?ref_=adv_li_tt
Don't Worry Darling,"Mystery,Thriller",2022,R,2h 2m,Olivia Wilde,"Carey Van Dyke,Olivia Wilde","Florence Pugh,Olivia Wilde,Chris Pine","September 23, 2022 (United States)",Vertigo Entertainment,,,,https://www.imdb.com/title/tt10731256/?ref_=adv_li_tt
Samaritan,"Action,Drama,Fantasy",2022,PG-13,1h 42m,Julius Avery,Javon 'Wanna' Walton,"Sylvester Stallone,Javon 'Wanna' Walton,Pilou Asbæk","August 26, 2022 (United States)",,14,,,https://www.imdb.com/title/tt5500218/?ref_=adv_li_tt
Not Okay,"Comedy,Drama",2022,R,1h 40m,Quinn Shephard,Mia Isaac,"Zoey Deutch,Mia Isaac,Dylan O'Brien","July 29, 2022 (United States)",,139,,,https://www.imdb.com/title/tt14814040/?ref_=adv_li_tt
Carter,"Action,Thriller",2022,TV-MA,2h 12m,Byung-gil Jung,"Byung-gil Jung,Kim Bo-Min","Joo Won,Kim Bo-Min,Sung-Jae Lee","August 5, 2022 (United States)",,248,,,https://www.imdb.com/title/tt21237030/?ref_=adv_li_tt
They/Them,"Horror,Mystery,Thriller",2022,TV-MA,1h 44m,John Logan,Theo Germaine,"Kevin Bacon,Theo Germaine,Anna Chlumsky","August 5, 2022 (United States)",,206,,,https://www.imdb.com/title/tt14502344/?ref_=adv_li_tt
Three Thousand Years of Longing,"Drama,Fantasy,Romance",2022,R,1h 48m,George Miller,"Augusta Gore,Idris Elba","Tilda Swinton,Idris Elba,Pia Thunderbolt","August 26, 2022 (United States)",Metro-Goldwyn-Mayer (MGM),15,,,https://www.imdb.com/title/tt9198364/?ref_=adv_li_tt
RRR,"Action,Drama",2022,Not Rated,3h 7m,S.S. Rajamouli,"S.S. Rajamouli,Ram Charan Teja","N.T. Rama Rao Jr.,Ram Charan Teja,Ajay Devgn","March 25, 2022 (United States)",,1.4K,,,https://www.imdb.com/title/tt8178634/?ref_=adv_li_tt
Spin Me Round,Comedy,2022,Unrated,1h 44m,Jeff Baena,"Alison Brie,Jake Picking","Alison Brie,Jake Picking,Stella Chestnut","August 19, 2022 (United States)",,31,,,https://www.imdb.com/title/tt14596320/?ref_=adv_li_tt
The Greatest Beer Run Ever,"Adventure,Comedy,Drama",2022,R,2h 6m,Peter Farrelly,"Peter Farrelly,Russell Crowe","Zac Efron,Russell Crowe,Bill Murray","September 30, 2022 (United States)",,1,,,https://www.imdb.com/title/tt10268488/?ref_=adv_li_tt
Rogue Agent,"Drama,Thriller",2022,,,Declan Lawn,"Adam Patterson,Adam Patterson,Matthew Douglas","James Norton,Matthew Douglas,Rob Malone","July 27, 2022 (United Kingdom)",Night Train Media,67,,,https://www.imdb.com/title/tt9731386/?ref_=adv_li_tt
Karthikeya 2,"Action,Adventure,Fantasy",2022,,,Chandoo Mondeti,Harsha Chemudu,"Nikhil Siddharth,Harsha Chemudu,Darbha Appaji Ambarisha","August 13, 2022 (India)",,1K,,,https://www.imdb.com/title/tt13664684/?ref_=adv_li_tt
Bones and All,"Drama,Horror,Romance",2022,R,2h 10m,Luca Guadagnino,"Camille DeAngelis,Michael Stuhlbarg","Timothée Chalamet,Michael Stuhlbarg,Taylor Russell","November 24, 2022 (Italy)",Vision Distribution,,,,https://www.imdb.com/title/tt10168670/?ref_=adv_li_tt
Minions: The Rise of Gru,"Animation,Adventure,Comedy",2022,PG,1h 27m,Kyle Balda,"Brad Ableson,Brian Lynch,Pierre Coffin","Steve Carell,Pierre Coffin,Alan Arkin","July 1, 2022 (United States)",,537,,,https://www.imdb.com/title/tt5113044/?ref_=adv_li_tt
Glorious,"Horror,Thriller",2022,,,Rebekah McKendry,"David Ian McKendry,J.K. Simmons","Ryan Kwanten,J.K. Simmons,Tordy Clark","August 18, 2022 (United States)",Eyevox Entertainment,34,,,https://www.imdb.com/title/tt12724306/?ref_=adv_li_tt
Doctor Strange in the Multiverse of Madness,"Action,Adventure,Fantasy",2022,PG-13,2h 6m,Sam Raimi,"Stan Lee,Elizabeth Olsen","Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor","May 6, 2022 (United States)",,3.8K,,,https://www.imdb.com/title/tt9419884/?ref_=adv_li_tt
The Next 365 Days,"Drama,Romance",2022,TV-MA,1h 52m,Barbara Bialowas,"Tomasz Mandes,Tomasz Klimala,Michele Morrone","Anna-Maria Sieklucka,Michele Morrone,Simone Susinna","August 19, 2022 (United States)",,84,,,https://www.imdb.com/title/tt21106646/?ref_=adv_li_tt
Moonfall,"Action,Adventure,Sci-Fi",2022,PG-13,2h 10m,Roland Emmerich,"Harald Kloser,Patrick Wilson","Halle Berry,Patrick Wilson,John Bradley","February 4, 2022 (United States)",H Brothers,1.6K,,,https://www.imdb.com/title/tt5834426/?ref_=adv_li_tt
The Northman,"Action,Adventure,Drama",2022,R,2h 17m,Robert Eggers,"Robert Eggers,Nicole Kidman","Alexander Skarsgård,Nicole Kidman,Claes Bang","April 22, 2022 (United States)",Focus Features,1.9K,,,https://www.imdb.com/title/tt11138512/?ref_=adv_li_tt
The Batman,"Action,Crime,Drama",2022,PG-13,2h 56m,Matt Reeves,"Peter Craig,Zoë Kravitz","Robert Pattinson,Zoë Kravitz,Jeffrey Wright","March 4, 2022 (United States)",6th & Idaho Productions,7.5K,,,https://www.imdb.com/title/tt1877830/?ref_=adv_li_tt
The Adam Project,"Action,Adventure,Comedy",2022,PG-13,1h 46m,Shawn Levy,"T.S. Nowlin,Walker Scobell","Ryan Reynolds,Walker Scobell,Mark Ruffalo","March 11, 2022 (United States)",Skydance Media,1.2K,,,https://www.imdb.com/title/tt2463208/?ref_=adv_li_tt
