title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
VR (Vikrant Rona),"Adventure,Drama,Mystery",2022,Not Rated,2h 28m,Anup Bhandari,"John Mahendran,Nirup Bhandari","Sudeep,Nirup Bhandari,Neetha Ashok","July 28, 2022 (India)",,328,,,https://www.imdb.com/title/tt12015102/?ref_=adv_li_tt
Last Seen Alive,"Action,Drama,Thriller",2022,R,1h 35m,Brian Goodman,Jaimie Alexander,"Gerard Butler,Jaimie Alexander,Russell Hornsby","June 3, 2022 (United States)",G-BASE,195,,,https://www.imdb.com/title/tt10242388/?ref_=adv_li_tt
Vikram,"Action,Thriller",2022,,,Lokesh Kanagaraj,"Rathna Kumar,Vijay Sethupathi","Kamal Haasan,Vijay Sethupathi,Fahadh Faasil","June 3, 2022 (India)",,638,,,https://www.imdb.com/title/tt9179430/?ref_=adv_li_tt
Downton Abbey: A New Era,"Drama,Romance",2022,PG,2h 4m,Simon Curtis,Jim Carter,"Hugh Bonneville,Jim Carter,Michelle Dockery","May 20, 2022 (United States)",,228,,,https://www.imdb.com/title/tt11703710/?ref_=adv_li_tt
The Woman King,"Action,Drama,History",2022,,,Gina Prince-Bythewood,"Dana Stevens,Hero Fiennes Tiffin","Viola Davis,Hero Fiennes Tiffin,John Boyega","September 16, 2022 (United States)",JuVee Productions,1,,,https://www.imdb.com/title/tt8093700/?ref_=adv_li_tt
Easter Sunday,Comedy,2022,PG-13,1h 36m,Jay Chandrasekhar,"Ken Cheng,Lydia Gaston","Jo Koy,Lydia Gaston,Brandon Wardell","August 5, 2022 (United States)",Rideback,41,,,https://www.imdb.com/title/tt11952606/?ref_=adv_li_tt
The Princess,"Action,Drama,Fantasy",2022,R,1h 34m,Le-Van Kiet,"Jake Thornton,Olga Kurylenko","Joey King,Olga Kurylenko,Antoni Davidov","July 1, 2022 (United States)",,343,,,https://www.imdb.com/title/tt13406136/?ref_=adv_li_tt
Mack & Rita,"Comedy,Drama",2022,PG-13,1h 34m,Katie Aselton,"Paul Welsh,Elizabeth Lail","Diane Keaton,Elizabeth Lail,Taylour Paige","August 12, 2022 (United States)",Hungry Bull Productions,14,,,https://www.imdb.com/title/tt14330236/?ref_=adv_li_tt
Deep Water,"Drama,Mystery,Thriller",2022,R,1h 55m,Adrian Lyne,"Sam Levinson,Ana de Armas","Ben Affleck,Ana de Armas,Tracy Letts","March 18, 2022 (United States)",Entertainment 360,591,,,https://www.imdb.com/title/tt2180339/?ref_=adv_li_tt
After Ever Happy,"Drama,Romance",2022,R,1h 59m,Castille Landon,"Anna Todd,Hero Fiennes Tiffin","Josephine Langford,Hero Fiennes Tiffin,Louise Lombard","September 7, 2022 (United States)",,6,,,https://www.imdb.com/title/tt13070038/?ref_=adv_li_tt
The Banshees of Inisherin,"Comedy,Drama",2022,R,1h 49m,Martin McDonagh,Brendan Gleeson,"Colin Farrell,Brendan Gleeson,Kerry Condon","October 21, 2022 (United States)",Film 4,,,,https://www.imdb.com/title/tt11813216/?ref_=adv_li_tt
No Way Out,"Action,Crime,Thriller",2022,,,Azi Rahman,Allie Ayers,"Jeff Adler,Allie Ayers,Joey Bicicchi","August 12, 2022 (Canada)",,5,,,https://www.imdb.com/title/tt9893160/?ref_=adv_li_tt
Sonic the Hedgehog 2,"Action,Adventure,Comedy",2022,PG,2h 2m,Jeff Fowler,"Josh Miller,Jim Carrey","James Marsden,Jim Carrey,Ben Schwartz","April 8, 2022 (United States)",Original Film,569,,,https://www.imdb.com/title/tt12412888/?ref_=adv_li_tt
Ambulance,"Action,Crime,Drama",2022,R,2h 16m,Michael Bay,"Laurits Munch-Petersen,Yahya Abdul-Mateen II","Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González","April 8, 2022 (United States)",New Republic Pictures,1K,,,https://www.imdb.com/title/tt4998632/?ref_=adv_li_tt
Office Invasion,"Action,Comedy,Sci-Fi",2022,TV-MA,1h 52m,Gareth Crocker,"Fred Wolmarans,Kiroshan Naidoo","Rea Rangaka,Kiroshan Naidoo,Sechaba Ramphele","August 10, 2022 (United States)",,53,,,https://www.imdb.com/title/tt21440188/?ref_=adv_li_tt
Morbius,"Action,Adventure,Horror",2022,PG-13,1h 44m,Daniel Espinosa,"Burk Sharpless,Matt Smith","Jared Leto,Matt Smith,Adria Arjona","April 1, 2022 (United States)",,2K,,,https://www.imdb.com/title/tt5108870/?ref_=adv_li_tt
Chip 'n Dale: Rescue Rangers,"Animation,Adventure,Comedy",2022,PG,1h 37m,Akiva Schaffer,"Doug Mand,John Mulaney","Andy Samberg,John Mulaney,KiKi Layne","May 20, 2022 (United States)",,296,,,https://www.imdb.com/title/tt3513500/?ref_=adv_li_tt
God's Creatures,Drama,2022,R,1h 34m,Saela Davis,"Anna Rose Holmer,Shane Crowley,Paul Mescal","Emily Watson,Paul Mescal,Aisling Franciosi","September 30, 2022 (United States)",BBC Film,7,,,https://www.imdb.com/title/tt10375396/?ref_=adv_li_tt
Glass Onion: A Knives Out Mystery,"Crime,Drama,Thriller",2022,PG-13,2h 19m,Rian Johnson,Jessica Henwick,"Ethan Hawke,Jessica Henwick,Edward Norton","December 23, 2022 (United States)",,,,,https://www.imdb.com/title/tt11564570/?ref_=adv_li_tt
Major,"Action,Biography,Drama",2022,,,Sashi Kiran Tikka,"Abburi Ravi,Prakash Raj","Adivi Sesh,Prakash Raj,Revathi","June 3, 2022 (India)",G. Mahesh Babu Entertainment,720,,,https://www.imdb.com/title/tt9851854/?ref_=adv_li_tt
Redeeming Love,"Drama,Romance",2022,PG-13,2h 14m,D.J. Caruso,"D.J. Caruso,Tom Lewis","Abigail Cowen,Tom Lewis,Eric Dane","January 21, 2022 (United States)",Advantage Entertainment,180,,,https://www.imdb.com/title/tt11365186/?ref_=adv_li_tt
Honk for Jesus. Save Your Soul.,Comedy,2022,R,1h 42m,Adamma Ebo,Sterling K. Brown,"Regina Hall,Sterling K. Brown,Nicole Beharie","September 2, 2022 (United States)",Ejime Productions,8,,,https://www.imdb.com/title/tt12655436/?ref_=adv_li_tt
Rise of the Teenage Mutant Ninja Turtles: The Movie,"Animation,Action,Adventure",2022,TV-Y7,1h 22m,Andy Suriano,"Ant Ward,Rebecca May,Omar Benson Miller","Ben Schwartz,Omar Benson Miller,Brandon Mychal Smith","August 5, 2022 (United States)",Nickelodeon Animation Studios,214,,,https://www.imdb.com/title/tt9784708/?ref_=adv_li_tt
The 355,"Action,Thriller",2022,PG-13,2h 2m,Simon Kinberg,"Simon Kinberg,Penélope Cruz","Jessica Chastain,Penélope Cruz,Bingbing Fan","January 7, 2022 (United States)",FilmNation Entertainment,442,,,https://www.imdb.com/title/tt8356942/?ref_=adv_li_tt
I Used to Be Famous,"Comedy,Drama,Music",2022,,,Eddie Sternberg,"Zak Klein,Eoin Macken","Ed Skrein,Eoin Macken,Eleanor Matsuura","September 16, 2022 (United States)",,,,,https://www.imdb.com/title/tt15807910/?ref_=adv_li_tt
Cadaver,"Crime,Drama,Mystery",2022,,,Anoop Panicker,Riythvika Panneerselvam,"Amala Paul,Riythvika Panneerselvam,Munishkanth","August 12, 2022 (India)",,49,,,https://www.imdb.com/title/tt11102262/?ref_=adv_li_tt
Fisherman's Friends: One and All,"Comedy,Drama,Music",2022,PG-13,1h 51m,Meg Leonard,"Nick Moorcroft,Meg Leonard,Sam Swainsbury","James Purefoy,Sam Swainsbury,Dave Johns","August 19, 2022 (United Kingdom)",Powderkeg Pictures,9,,,https://www.imdb.com/title/tt10373344/?ref_=adv_li_tt
Interceptor,"Action,Adventure,Drama",2022,TV-MA,1h 39m,Matthew Reilly,"Stuart Beattie,Luke Bracey","Elsa Pataky,Luke Bracey,Aaron Glenane","June 3, 2022 (United States)",,882,,,https://www.imdb.com/title/tt14174940/?ref_=adv_li_tt
Dog,"Comedy,Drama",2022,PG-13,1h 41m,Reid Carolin,"Channing Tatum,Brett Rodriguez,Ryder McLaughlin","Channing Tatum,Ryder McLaughlin,Aavi Haas","February 18, 2022 (United States)",FilmNation Entertainment,289,,,https://www.imdb.com/title/tt11252248/?ref_=adv_li_tt
Paradise Highway,Thriller,2022,R,1h 55m,Anna Gutto,Morgan Freeman,"Juliette Binoche,Morgan Freeman,Frank Grillo","July 29, 2022 (United States)",ZDF Enterprises,45,,,https://www.imdb.com/title/tt7469828/?ref_=adv_li_tt
The Contractor,"Action,Thriller",2022,R,1h 43m,Tarik Saleh,Gillian Jacobs,"Chris Pine,Gillian Jacobs,Sander Thomas","April 1, 2022 (United States)",Thunder Road Pictures,250,,,https://www.imdb.com/title/tt10323676/?ref_=adv_li_tt
Asteroid City,"Comedy,Romance",2022,,,Wes Anderson,,"Tom Hanks,Margot Robbie,Bryan Cranston",2022 (United States),,,,,https://www.imdb.com/title/tt14230388/?ref_=adv_li_tt
Bros,"Comedy,Romance",2022,R,,Nicholas Stoller,"Nicholas Stoller,Kristin Chenoweth","Debra Messing,Kristin Chenoweth,Monica Raymund","September 30, 2022 (United States)",Stoller Global Solutions,,,,https://www.imdb.com/title/tt9731598/?ref_=adv_li_tt
The Munsters,"Comedy,Family,Fantasy",2022,PG,,Rob Zombie,Cassandra Peterson,"Pat Priest,Cassandra Peterson,Dee Wallace","September 27, 2022 (United States)",Spookshow International,,,,https://www.imdb.com/title/tt14813212/?ref_=adv_li_tt
The Killer,"Action,Crime",2022,,,Jae-Hoon Choi,Seo-young Lee,"Jang Hyuk,Seo-young Lee,Bang Eun-Jung","July 13, 2022 (South Korea)",,10,,,https://www.imdb.com/title/tt19713090/?ref_=adv_li_tt
The Requin,"Horror,Thriller",2022,R,1h 29m,Le-Van Kiet,James Tupper,"Alicia Silverstone,James Tupper,Deirdre O'Connell","January 28, 2022 (Canada)",828 Media Capital,437,,,https://www.imdb.com/title/tt11348232/?ref_=adv_li_tt
You Won't Be Alone,"Drama,Horror",2022,R,1h 48m,Goran Stolevski,Alice Englert,"Noomi Rapace,Alice Englert,Anamaria Marinca","April 14, 2022 (Australia)",Metrol Technology,81,,,https://www.imdb.com/title/tt8296030/?ref_=adv_li_tt
Call Jane,"Drama,History",2022,R,2h 1m,Phyllis Nagy,"Roshan Sethi,Sigourney Weaver","Elizabeth Banks,Sigourney Weaver,Chris Messina","October 28, 2022 (United States)",LB Entertainment,4,,,https://www.imdb.com/title/tt7461272/?ref_=adv_li_tt
Love in the Villa,"Comedy,Romance",2022,,,Mark Steven Johnson,Kat Graham,"Tom Hopper,Kat Graham,Laura Hopper","September 1, 2022 (United States)",Netflix Studios,,,,https://www.imdb.com/title/tt15463032/?ref_=adv_li_tt
Argylle,Action,2022,,,Matthew Vaughn,,"Bryce Dallas Howard,Henry Cavill,Bryan Cranston",2022 (United Kingdom),,,,,https://www.imdb.com/title/tt15009428/?ref_=adv_li_tt
Ek Villain Returns,"Action,Romance,Thriller",2022,,,Mohit Suri,"Aseem Arrora,John Abraham","Disha Patani,John Abraham,Arjun Kapoor","July 29, 2022 (India)",,692,,,https://www.imdb.com/title/tt11947158/?ref_=adv_li_tt
Texas Chainsaw Massacre,"Crime,Horror,Thriller",2022,R,1h 21m,David Blue Garcia,,"Sarah Yarkin,Elsie Fisher,Mark Burnham","February 18, 2022 (United States)",Legendary Entertainment,1.5K,,,https://www.imdb.com/title/tt11755740/?ref_=adv_li_tt
The Bubble,Comedy,2022,R,2h 6m,Judd Apatow,"Pam Brady,Samson Kayo","Harry Trevaldwyn,Samson Kayo,Peter Serafinowicz","April 1, 2022 (United States)",,525,,,https://www.imdb.com/title/tt13610562/?ref_=adv_li_tt
A Perfect Pairing,"Comedy,Romance",2022,TV-14,1h 41m,Stuart McDonald,"Hilary Galanoy,Adam Demos","Victoria Justice,Adam Demos,Luca Asta Sardelis","May 19, 2022 (United States)",Hoodlum Entertainment,74,,,https://www.imdb.com/title/tt15215512/?ref_=adv_li_tt
Do Revenge,Comedy,2022,,,Jennifer Kaytin Robinson,"Jennifer Kaytin Robinson,Sophie Turner","Maya Hawke,Sophie Turner,Camila Mendes","September 16, 2022 (United States)",,,,,https://www.imdb.com/title/tt13327038/?ref_=adv_li_tt
Emily,"Biography,Drama",2022,,,Frances O'Connor,Oliver Jackson-Cohen,"Emma Mackey,Oliver Jackson-Cohen,Fionn Whitehead","October 14, 2022 (United Kingdom)",Ingenious Media,,,,https://www.imdb.com/title/tt12374656/?ref_=adv_li_tt
Gold,"Action,Thriller",2022,R,1h 37m,Anthony Hayes,"Polly Smyth,Akuol Ngot","Zac Efron,Akuol Ngot,Thiik Biar","March 18, 2022 (United States)",Ingenious Media,275,,,https://www.imdb.com/title/tt6020800/?ref_=adv_li_tt
Heartsong,"Comedy,Drama,Music",2022,TV-14,1h 35m,Soner Caner,Hazar Ergüçlü,"Erkan Kolçak Köstendil,Hazar Ergüçlü,Bülent Emin Yarar","August 10, 2022 (United States)",,11,,,https://www.imdb.com/title/tt21339860/?ref_=adv_li_tt
Hatching,Horror,2022,,,Hanna Bergholm,"Ilja Rautsi,Sophia Heikkilä","Siiri Solalinna,Sophia Heikkilä,Jani Volanen","March 4, 2022 (Finland)",Umedia,88,,,https://www.imdb.com/title/tt12519030/?ref_=adv_li_tt
Don't Make Me Go,Drama,2022,R,1h 49m,Hannah Marks,Mia Isaac,"John Cho,Mia Isaac,Kaya Scodelario","July 15, 2022 (United States)",De Line Pictures,39,,,https://www.imdb.com/title/tt2597804/?ref_=adv_li_tt
Om - The Battle Within,"Action,Thriller",2022,,,Kapil Verma,"Raj Saluja,Lovely Bhati","Vicky Arora,Lovely Bhati,Amit Ghosh","July 1, 2022 (India)",Zee Studios,42,,,https://www.imdb.com/title/tt9115574/?ref_=adv_li_tt
Armageddon Time,Drama,2022,,,James Gray,,"Banks Repeta,Anne Hathaway,Jeremy Strong","November 11, 2022 (United States)",Spacemaker Productions,1,,,https://www.imdb.com/title/tt10343028/?ref_=adv_li_tt
The In Between,"Drama,Romance,Sci-Fi",2022,PG-13,1h 55m,Arie Posin,Kyle Allen,"Joey King,Kyle Allen,Kim Dickens","February 11, 2022 (United States)",,93,,,https://www.imdb.com/title/tt8851148/?ref_=adv_li_tt
Shark Bait,"Horror,Thriller",2022,TV-MA,1h 27m,James Nunn,Jack Trueman,"Holly Earl,Jack Trueman,Catherine Hannay","May 13, 2022 (United States)",Freebie Films,70,,,https://www.imdb.com/title/tt12550376/?ref_=adv_li_tt
Waiting for Bojangles,Drama,2022,,,Régis Roinsard,"Romain Compingt,Virginie Efira","Romain Duris,Virginie Efira,Grégory Gadebois","September 2, 2022 (United States)",StudioCanal,5,,,https://www.imdb.com/title/tt11310608/?ref_=adv_li_tt
Borderlands,"Action,Adventure,Comedy",2022,,,Eli Roth,"Eli Roth,Cate Blanchett","Kevin Hart,Cate Blanchett,Jamie Lee Curtis",2022 (United States),Picturestart,1,,,https://www.imdb.com/title/tt4978420/?ref_=adv_li_tt
Studio 666,"Comedy,Horror,Music",2022,R,1h 46m,BJ McDonnell,"Jeff Buhler,Nate Mendel","Dave Grohl,Nate Mendel,Pat Smear","February 25, 2022 (United States)",,131,,,https://www.imdb.com/title/tt15374070/?ref_=adv_li_tt
Hit: The First Case,"Action,Crime,Drama",2022,,,Sailesh Kolanu,"Sailesh Kolanu,Aparna Bajpai","Madhur Arora,Aparna Bajpai,Noyrika Bhatheja","July 15, 2022 (India)",,23,,,https://www.imdb.com/title/tt13130760/?ref_=adv_li_tt
Burial,Thriller,2022,,,Ben Parker,Harriet Walter,"Tom Felton,Harriet Walter,Charlotte Vega","September 2, 2022 (United States)",Fields Park Media Partners,,,,https://www.imdb.com/title/tt13063384/?ref_=adv_li_tt
Along for the Ride,"Drama,Romance",2022,TV-14,1h 46m,Sofia Alvarez,"Sofia Alvarez,Belmont Cameli","Emma Pasarow,Belmont Cameli,Laura Kariuki","May 6, 2022 (United States)",,59,,,https://www.imdb.com/title/tt14506528/?ref_=adv_li_tt
Metal Lords,"Comedy,Music",2022,R,1h 37m,Peter Sollett,,"Jaeden Martell,Adrian Greensmith,Isis Hainsworth","April 8, 2022 (United States)",,230,,,https://www.imdb.com/title/tt12141112/?ref_=adv_li_tt
Babysitter,Comedy,2022,,,Monia Chokri,Monia Chokri,"Patrick Hivon,Monia Chokri,Nadia Tereszkiewicz","August 19, 2022 (United States)",Société de Développement des Entreprises Culturelles (SODEC),3,,,https://www.imdb.com/title/tt13308316/?ref_=adv_li_tt
Sniper: Rogue Mission,"Action,Thriller",2022,R,1h 36m,Oliver Thompson,Ryan Robbins,"Chad Michael Collins,Ryan Robbins,Sayaka Akimoto","August 16, 2022 (United States)",,23,,,https://www.imdb.com/title/tt21222434/?ref_=adv_li_tt
Guillermo del Toro's Pinocchio,"Animation,Drama,Family",2022,,,Guillermo del Toro,"Mark Gustafson,Carlo Collodi,Cate Blanchett","Finn Wolfhard,Cate Blanchett,Tilda Swinton",December 2022 (United States),Netflix Animation,,,,https://www.imdb.com/title/tt1488589/?ref_=adv_li_tt
Wrong Place,"Action,Crime,Thriller",2022,,,Mike Burns,Ashley Greene,"Bruce Willis,Ashley Greene,Michael Sirow","August 26, 2022 (Turkey)",Emmett/Furla/Oasis Films (EFO Films),26,,,https://www.imdb.com/title/tt15837458/?ref_=adv_li_tt
Jaadugar,"Comedy,Drama,Fantasy",2022,TV-14,2h 47m,Sameer Saxena,Arushi Sharma,"Jitendra Kumar,Arushi Sharma,Jaaved Jaaferi","July 15, 2022 (United States)",Posham Pa Pictures,195,,,https://www.imdb.com/title/tt13793230/?ref_=adv_li_tt
Good Luck Jerry,"Comedy,Crime,Drama",2022,,,Siddharth Sengupta,"Pankaj Matta,Jaswant Singh Dalal","Janhvi Kapoor,Jaswant Singh Dalal,Deepak Dobriyal","July 29, 2022 (India)",Mahaveer Jain Films,854,,,https://www.imdb.com/title/tt13825336/?ref_=adv_li_tt
Here Out West,Drama,2022,,,Fadia Abboud,"Lucy Gaffy,Bina Bhattacharya,Mia-Lore Bayeh","Nisrine Amine,Mia-Lore Bayeh,Gladys Iturra Beiza","February 3, 2022 (Australia)",,1,,,https://www.imdb.com/title/tt13387266/?ref_=adv_li_tt
Runway 34,"Drama,Thriller",2022,,,Ajay Devgn,"Aamil Keeyan Khan,Amitabh Bachchan","Ajay Devgn,Amitabh Bachchan,Rakul Preet Singh","April 29, 2022 (India)",,726,,,https://www.imdb.com/title/tt11460992/?ref_=adv_li_tt
Bardo,"Comedy,Drama",2022,,,Alejandro G. Iñárritu,,"Ximena Lamadrid,Daniel Giménez Cacho,Andrés Almeida",2022 (United States),,,,,https://www.imdb.com/title/tt14176542/?ref_=adv_li_tt
1UP,"Comedy,Sport",2022,R,1h 40m,Kyle Newman,Taylor Zakhar Perez,"Paris Berelc,Taylor Zakhar Perez,Ruby Rose","July 15, 2022 (United States)",,57,,,https://www.imdb.com/title/tt13487922/?ref_=adv_li_tt
Broker,Drama,2022,,,Hirokazu Koreeda,Dong-won Gang,"Song Kang-ho,Dong-won Gang,Bae Doona","June 8, 2022 (South Korea)",,28,,,https://www.imdb.com/title/tt13056052/?ref_=adv_li_tt
As They Made Us,Drama,2022,R,1h 40m,Mayim Bialik,"Jonathan Cohen,Dianna Agron","Dustin Hoffman,Dianna Agron,Simon Helberg","April 8, 2022 (United States)",Bradley Pilz Productions,34,,,https://www.imdb.com/title/tt10949028/?ref_=adv_li_tt
Havoc,"Action,Thriller",2022,,,Gareth Evans,,"Luis Guzmán,Tom Hardy,Jill Winternitz",2022 (United States),XYZ Films,,,,https://www.imdb.com/title/tt14123284/?ref_=adv_li_tt
Worlds Apart,Comedy,2022,,,Cecilia Miniucchi,,"Bob Odenkirk,Radha Mitchell,Danny Huston",,,,,,https://www.imdb.com/title/tt21410538/?ref_=adv_li_tt
A Day to Die,"Action,Crime,Drama",2022,R,1h 45m,Wes Miller,"Scott Mallace,Bruce Willis","Kevin Dillon,Bruce Willis,Gianni Capaldi","March 22, 2022 (Netherlands)",Future Proof Films,121,,,https://www.imdb.com/title/tt14412366/?ref_=adv_li_tt
A Love Song,Romance,2022,PG,1h 21m,Max Walker-Silverman,Wes Studi,"Dale Dickey,Wes Studi,Michelle Wilson","January 20, 2022 (United States)",Cow Hip Films,9,,,https://www.imdb.com/title/tt12691830/?ref_=adv_li_tt
The House,"Animation,Comedy,Drama",2022,TV-MA,1h 37m,Paloma Baeza,"Emma De Swaef,Emma De Swaef,Matthew Goode","Mia Goth,Matthew Goode,Claudie Blakley","January 14, 2022 (United States)",,162,,,https://www.imdb.com/title/tt11703050/?ref_=adv_li_tt
Causeway,Drama,2022,R,1h 32m,Lila Neugebauer,,"Jennifer Lawrence,Brian Tyree Henry,Jayne Houdyshell",2022 (United States),IAC Films,,,,https://www.imdb.com/title/tt10192406/?ref_=adv_li_tt
