title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
The Fallout,Drama,2021,R,1h 36m,Megan Park,Maddie Ziegler,"Jenna Ortega,Maddie Ziegler,Niles Fitch","January 27, 2022 (United States)",SSS Film Capital,120,,,https://www.imdb.com/title/tt11847410/?ref_=adv_li_tt
The Black Phone,"Horror,Thriller",2021,R,1h 43m,Scott Derrickson,"Scott Derrickson,Madeleine McGraw","Mason Thames,Madeleine McGraw,Ethan Hawke","June 24, 2022 (United States)",Crooked Highway,1.1K,,,https://www.imdb.com/title/tt7144666/?ref_=adv_li_tt
Emergency Declaration,"Action,Drama,Thriller",2021,,,Han Jae-rim,Lee Byung-hun,"Song Kang-ho,Lee Byung-hun,Jeon Do-yeon","January 22, 2022 (South Korea)",Showbox Entertainment,14,,,https://www.imdb.com/title/tt11535228/?ref_=adv_li_tt
The Forgiven,Drama,2021,R,1h 57m,John Michael McDonagh,"Lawrence Osborne,Jessica Chastain","Matt Smith,Jessica Chastain,Ralph Fiennes","September 2, 2022 (United Kingdom)",Head Gear Films,52,,,https://www.imdb.com/title/tt3696180/?ref_=adv_li_tt
The Many Saints of Newark,"Crime,Drama",2021,R,2h,Alan Taylor,"Lawrence Konner,Leslie Odom Jr.","Alessandro Nivola,Leslie Odom Jr.,Jon Bernthal","October 1, 2021 (United States)",Home Box Office (HBO),1.3K,,,https://www.imdb.com/title/tt8110232/?ref_=adv_li_tt
The Sadness,Horror,2021,TV-MA,1h 39m,Rob Jabbaz,Regina Lei,"Berant Zhu,Regina Lei,Ying-Ru Chen","May 12, 2022 (United States)",,158,,,https://www.imdb.com/title/tt13872248/?ref_=adv_li_tt
Prey,"Adventure,Drama,Thriller",2021,TV-MA,1h 27m,Thomas Sieben,"Thomas Sieben,Hanno Koffler","David Kross,Hanno Koffler,Maria Ehrich","September 10, 2021 (United States)",,251,,,https://www.imdb.com/title/tt15198608/?ref_=adv_li_tt
The Card Counter,"Crime,Drama,Thriller",2021,R,1h 51m,Paul Schrader,Tiffany Haddish,"Oscar Isaac,Tiffany Haddish,Tye Sheridan","September 10, 2021 (United States)",Astrakan Film AB,461,,,https://www.imdb.com/title/tt11196036/?ref_=adv_li_tt
Army of Thieves,"Action,Comedy,Crime",2021,TV-MA,2h 7m,Matthias Schweighöfer,"Shay Hatten,Nathalie Emmanuel","Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee","October 29, 2021 (United States)",Film United,492,,,https://www.imdb.com/title/tt13024674/?ref_=adv_li_tt
Official Competition,"Comedy,Drama",2021,R,1h 55m,Mariano Cohn,"Gastón Duprat,Andrés Duprat,Antonio Banderas","Penélope Cruz,Antonio Banderas,Oscar Martínez","February 25, 2022 (Spain)",,27,,,https://www.imdb.com/title/tt11700260/?ref_=adv_li_tt
