title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
Made in Italy,"Comedy,Drama,Romance",2020,R,1h 34m,James D'Arcy,Micheál Richardson,"Yolanda Kettle,Micheál Richardson,Souad Faress","August 7, 2020 (United States)",Ingenious Media,136,,,https://www.imdb.com/title/tt9207700/?ref_=adv_li_tt
Monster Hunter,"Action,Adventure,Fantasy",2020,PG-13,1h 43m,Paul W.S. Anderson,"Kaname Fujioka,Tony Jaa","Milla Jovovich,Tony Jaa,Ron Perlman","December 18, 2020 (United States)",Capcom Company,1.1K,,,https://www.imdb.com/title/tt6475714/?ref_=adv_li_tt
Fantasy Island,"Fantasy,Horror,Mystery",2020,PG-13,1h 49m,Jeff Wadlow,"Christopher Roach,Maggie Q","Michael Peña,Maggie Q,Lucy Hale","February 14, 2020 (United States)",Tower of Babble Entertainment,969,,,https://www.imdb.com/title/tt0983946/?ref_=adv_li_tt
The Craft: Legacy,"Drama,Fantasy,Horror",2020,PG-13,1h 37m,Zoe Lister-Jones,"Peter Filardi,Zoey Luna","Cailee Spaeny,Zoey Luna,Gideon Adlon","October 28, 2020 (United States)",Red Wagon Entertainment,419,,,https://www.imdb.com/title/tt4685762/?ref_=adv_li_tt
Boss Level,"Action,Adventure,Comedy",2020,TV-MA,1h 40m,Joe Carnahan,"Eddie Borey,Mel Gibson","Frank Grillo,Mel Gibson,Naomi Watts","March 5, 2021 (United States)",Emmett/Furla/Oasis Films (EFO Films),702,,,https://www.imdb.com/title/tt7638348/?ref_=adv_li_tt
Greyhound,"Action,Drama,History",2020,PG-13,1h 31m,Aaron Schneider,"C.S. Forester,Elisabeth Shue","Tom Hanks,Elisabeth Shue,Stephen Graham","July 10, 2020 (United States)",Stage 6 Films,917,,,https://www.imdb.com/title/tt6048922/?ref_=adv_li_tt
The Forgotten Battle,"Drama,War",2020,TV-MA,2h 4m,Matthijs van Heijningen Jr.,"Jesse Maiman,Jamie Flatters","Gijs Blom,Jamie Flatters,Susan Radder","October 15, 2021 (United States)",Evangelische Omroep (EO),258,,,https://www.imdb.com/title/tt10521092/?ref_=adv_li_tt
Greenland,Thriller,2020,PG-13,1h 59m,Ric Roman Waugh,Morena Baccarin,"Gerard Butler,Morena Baccarin,Roger Dale Floyd","December 18, 2020 (United States)",Thunder Road Pictures,1.7K,,,https://www.imdb.com/title/tt7737786/?ref_=adv_li_tt
365 Days,"Drama,Romance",2020,TV-MA,1h 54m,Barbara Bialowas,,"Anna-Maria Sieklucka,Michele Morrone,Bronislaw Wroclawski","June 7, 2020 (United States)",Next Film,1.4K,,,https://www.imdb.com/title/tt10886166/?ref_=adv_li_tt
Nomadland,Drama,2020,R,1h 47m,Chloé Zhao,"Jessica Bruder,David Strathairn","Frances McDormand,David Strathairn,Linda May","February 19, 2021 (United States)",Highwayman Films,1.1K,,,https://www.imdb.com/title/tt9770150/?ref_=adv_li_tt
Underwater,"Action,Horror,Sci-Fi",2020,PG-13,1h 35m,William Eubank,"Adam Cozad,Vincent Cassel","Kristen Stewart,Vincent Cassel,Mamoudou Athie","January 10, 2020 (United States)",Twentieth Century Fox,1.1K,,,https://www.imdb.com/title/tt5774060/?ref_=adv_li_tt
The Courier,"Drama,History,Thriller",2020,PG-13,1h 52m,Dominic Cooke,Merab Ninidze,"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan","March 19, 2021 (United States)",SunnyMarch,358,,,https://www.imdb.com/title/tt8368512/?ref_=adv_li_tt
The Empty Man,"Horror,Mystery,Thriller",2020,R,2h 17m,David Prior,"Cullen Bunn,Marin Ireland","James Badge Dale,Marin Ireland,Sasha Frolova","October 23, 2020 (United States)",,549,,,https://www.imdb.com/title/tt5867314/?ref_=adv_li_tt
The Banker,"Biography,Drama",2020,PG-13,2h,George Nolfi,"George Nolfi,Samuel L. Jackson","Anthony Mackie,Samuel L. Jackson,Nicholas Hoult","March 20, 2020 (United States)",Iam21 Entertainment,186,,,https://www.imdb.com/title/tt6285944/?ref_=adv_li_tt
Mulan,"Action,Adventure,Drama",2020,PG-13,1h 55m,Niki Caro,"Amanda Silver,Donnie Yen","Liu Yifei,Donnie Yen,Gong Li","September 4, 2020 (United States)",Good Fear Content,2.9K,,,https://www.imdb.com/title/tt4566758/?ref_=adv_li_tt
Love and Monsters,"Action,Adventure,Comedy",2020,PG-13,1h 49m,Michael Matthews,"Matthew Robinson,Jessica Henwick","Dylan O'Brien,Jessica Henwick,Michael Rooker","October 16, 2020 (United States)",21 Laps Entertainment,1K,,,https://www.imdb.com/title/tt2222042/?ref_=adv_li_tt
The Duke,"Biography,Comedy,Drama",2020,R,1h 35m,Roger Michell,"Clive Coleman,Heather Craney","Jim Broadbent,Heather Craney,Stephen Rashbrook","February 25, 2022 (United Kingdom)",Screen Yorkshire,89,,,https://www.imdb.com/title/tt11204094/?ref_=adv_li_tt
Escape from Pretoria,"Crime,Mystery,Thriller",2020,PG-13,1h 46m,Francis Annan,"L.H. Adams,Daniel Webber","Daniel Radcliffe,Daniel Webber,Ian Hart","March 6, 2020 (United States)",MEP Capital,279,,,https://www.imdb.com/title/tt5797184/?ref_=adv_li_tt
Spontaneous,"Comedy,Drama,Horror",2020,R,1h 41m,Brian Duffield,"Aaron Starmer,Charlie Plummer","Katherine Langford,Charlie Plummer,Yvonne Orji","October 2, 2020 (United States)",,237,,,https://www.imdb.com/title/tt5774062/?ref_=adv_li_tt
Bloodshot,"Action,Adventure,Sci-Fi",2020,PG-13,1h 49m,Dave Wilson,"Eric Heisserer,Eiza González","Vin Diesel,Eiza González,Sam Heughan","March 13, 2020 (United States)",Annabell Pictures,915,,,https://www.imdb.com/title/tt1634106/?ref_=adv_li_tt
Songbird,"Drama,Sci-Fi,Thriller",2020,PG-13,1h 24m,Adam Mason,"Simon Boyes,Sofia Carson","K.J. Apa,Sofia Carson,Craig Robinson","December 11, 2020 (Brazil)",Platinum Dunes,290,,,https://www.imdb.com/title/tt12592252/?ref_=adv_li_tt
Monday,"Drama,Romance",2020,R,1h 56m,Argyris Papadimitropoulos,"Argyris Papadimitropoulos,Sebastian Stan","Denise Gough,Sebastian Stan,Yorgos Pirpassopoulos","April 16, 2021 (United States)",Faliro House Productions,84,,,https://www.imdb.com/title/tt8884906/?ref_=adv_li_tt
The Broken Hearts Gallery,"Comedy,Romance",2020,PG-13,1h 49m,Natalie Krinsky,Dacre Montgomery,"Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar","September 11, 2020 (United States)",,112,,,https://www.imdb.com/title/tt2140571/?ref_=adv_li_tt
Chemical Hearts,"Drama,Romance",2020,R,1h 33m,Richard Tanne,"Krystal Sutherland,Austin Abrams","Lili Reinhart,Austin Abrams,Sarah Jones","August 21, 2020 (United States)",Awesomeness Films,145,,,https://www.imdb.com/title/tt5843876/?ref_=adv_li_tt
Ammonite,"Biography,Drama,History",2020,R,2h,Francis Lee,Saoirse Ronan,"Kate Winslet,Saoirse Ronan,Gemma Jones","November 13, 2020 (United States)",Cross City Films,191,,,https://www.imdb.com/title/tt7983894/?ref_=adv_li_tt
The Wrong Missy,"Comedy,Romance",2020,TV-MA,1h 30m,Tyler Spindel,"Kevin Barnett,Lauren Lapkus","David Spade,Lauren Lapkus,Nick Swardson","May 13, 2020 (United States)",QC Entertainment,677,,,https://www.imdb.com/title/tt9619798/?ref_=adv_li_tt
News of the World,"Action,Adventure,Drama",2020,PG-13,1h 58m,Paul Greengrass,"Luke Davies,Helena Zengel","Tom Hanks,Helena Zengel,Tom Astor","December 25, 2020 (United States)",Pretty Pictures,698,,,https://www.imdb.com/title/tt6878306/?ref_=adv_li_tt
Scoob!,"Animation,Adventure,Comedy",2020,PG,1h 33m,Tony Cervone,"Jack C. Donaldson,Mark Wahlberg","Will Forte,Mark Wahlberg,Jason Isaacs","May 15, 2020 (United States)",Hanna-Barbera Productions,673,,,https://www.imdb.com/title/tt3152592/?ref_=adv_li_tt
Holidate,"Comedy,Romance",2020,TV-MA,1h 44m,John Whitesell,Luke Bracey,"Emma Roberts,Luke Bracey,Kristin Chenoweth","October 28, 2020 (United States)",,454,,,https://www.imdb.com/title/tt9866072/?ref_=adv_li_tt
Minamata,Drama,2020,R,1h 55m,Andrew Levitas,"Stephen Deuters,Kogarashi Wakasugi","Akiko Iwase,Kogarashi Wakasugi,Johnny Depp","April 8, 2021 (United Arab Emirates)",Infinitum Nihil,188,,,https://www.imdb.com/title/tt9179096/?ref_=adv_li_tt
Minari,Drama,2020,PG-13,1h 55m,Lee Isaac Chung,Yeri Han,"Steven Yeun,Yeri Han,Alan Kim","February 12, 2021 (United States)",,426,,,https://www.imdb.com/title/tt10633456/?ref_=adv_li_tt
Sputnik,"Drama,Horror,Mystery",2020,Not Rated,1h 53m,Egor Abramenko,"Andrey Zolotarev,Fedor Bondarchuk","Oksana Akinshina,Fedor Bondarchuk,Pyotr Fyodorov","July 24, 2020 (Estonia)",Hype Film,287,,,https://www.imdb.com/title/tt11905962/?ref_=adv_li_tt
Pieces of a Woman,Drama,2020,R,2h 6m,Kornél Mundruczó,Shia LaBeouf,"Vanessa Kirby,Shia LaBeouf,Ellen Burstyn","January 7, 2021 (United States)",Little Lamb,391,,,https://www.imdb.com/title/tt11161474/?ref_=adv_li_tt
Spenser Confidential,"Action,Comedy,Drama",2020,R,1h 51m,Peter Berg,"Brian Helgeland,Winston Duke","Mark Wahlberg,Winston Duke,Alan Arkin","March 6, 2020 (United States)",Closest to the Hole Productions,629,,,https://www.imdb.com/title/tt8629748/?ref_=adv_li_tt
The Lost Husband,"Drama,Romance",2020,PG-13,1h 49m,Vicky Wight,"Katherine Center,Josh Duhamel","Leslie Bibb,Josh Duhamel,Nora Dunn","April 10, 2020 (United States)",,118,,,https://www.imdb.com/title/tt4257940/?ref_=adv_li_tt
Inheritance,"Drama,Mystery,Thriller",2020,TV-MA,1h 51m,Vaughn Stein,Simon Pegg,"Lily Collins,Simon Pegg,Connie Nielsen","May 22, 2020 (United States)",Ingenious Media,276,,,https://www.imdb.com/title/tt7923220/?ref_=adv_li_tt
His House,"Drama,Horror,Thriller",2020,TV-14,1h 33m,Remi Weekes,"Felicity Evans,Wunmi Mosaku","Sope Dirisu,Wunmi Mosaku,Malaika Wakoli-Abigaba","October 30, 2020 (United States)",New Regency Productions,391,,,https://www.imdb.com/title/tt8508734/?ref_=adv_li_tt
The Heist of the Century,"Action,Biography,Comedy",2020,,,Ariel Winograd,"Fernando Araujo,Diego Peretti","Guillermo Francella,Diego Peretti,Luis Luque","August 14, 2020 (United States)",DIRECTV Original,27,,,https://www.imdb.com/title/tt10948718/?ref_=adv_li_tt
Six Minutes to Midnight,"Drama,Thriller,War",2020,PG-13,1h 39m,Andy Goddard,"Celyn Jones,Judi Dench","Nigel Lindsay,Judi Dench,Eddie Izzard","March 26, 2021 (United States)",Reliance Entertainment Productions 6,126,,,https://www.imdb.com/title/tt5114840/?ref_=adv_li_tt
Bad Boys for Life,"Action,Comedy,Crime",2020,R,2h 4m,Adil El Arbi,"Bilall Fallah,Joe Carnahan,Martin Lawrence","Will Smith,Martin Lawrence,Vanessa Hudgens","January 17, 2020 (United States)",Don Simpson/Jerry Bruckheimer Films,1.2K,,,https://www.imdb.com/title/tt1502397/?ref_=adv_li_tt
The Postcard Killings,"Crime,Drama,Thriller",2020,Not Rated,1h 44m,Danis Tanovic,"Ellen Furman,Famke Janssen","Jeffrey Dean Morgan,Famke Janssen,Cush Jumbo","March 13, 2020 (United States)",Hindsight Media,187,,,https://www.imdb.com/title/tt4106514/?ref_=adv_li_tt
Artemis Fowl,"Adventure,Family,Fantasy",2020,PG,1h 35m,Kenneth Branagh,"Hamish McColl,Lara McDonnell","Ferdia Shaw,Lara McDonnell,Josh Gad","June 12, 2020 (United States)",,1K,,,https://www.imdb.com/title/tt3089630/?ref_=adv_li_tt
Horizon Line,"Action,Adventure,Drama",2020,PG-13,1h 32m,Mikael Marcimain,"Matt Stuecken,Alexander Dreymon","Allison Williams,Alexander Dreymon,Keith David","January 12, 2021 (United States)",Ombra Films,355,,,https://www.imdb.com/title/tt5498354/?ref_=adv_li_tt
Becky,"Action,Crime,Drama",2020,R,1h 33m,Jonathan Milott,"Cary Murnion,Lane Skye,Kevin James","Lulu Wilson,Kevin James,Joel McHale","June 5, 2020 (United States)",BoulderLight Pictures,443,,,https://www.imdb.com/title/tt10314450/?ref_=adv_li_tt
Malnazidos,"Action,Adventure,Fantasy",2020,TV-MA,1h 41m,Alberto de Toro,"Javier Ruiz Caldera,Cristian Conti,Aura Garrido","Miki Esparbé,Aura Garrido,Luis Callejo","July 11, 2022 (United States)",Ikiru Films,45,,,https://www.imdb.com/title/tt10127708/?ref_=adv_li_tt
Host,"Horror,Mystery",2020,Not Rated,57m,Rob Savage,"Rob Savage,Jemma Moore","Haley Bishop,Jemma Moore,Emma Louise Webb","July 30, 2020 (United States)",,430,,,https://www.imdb.com/title/tt12749596/?ref_=adv_li_tt
Uncle Frank,"Comedy,Drama",2020,R,1h 35m,Alan Ball,Sophia Lillis,"Paul Bettany,Sophia Lillis,Peter Macdissi","November 25, 2020 (United States)",Your Face Goes Here Entertainment,205,,,https://www.imdb.com/title/tt11327514/?ref_=adv_li_tt
Gretel & Hansel,"Fantasy,Horror,Mystery",2020,PG-13,1h 27m,Oz Perkins,"Jacob Grimm,Samuel Leakey","Sophia Lillis,Samuel Leakey,Alice Krige","January 31, 2020 (United States)",Automatik Entertainment,545,,,https://www.imdb.com/title/tt9086228/?ref_=adv_li_tt
Rifkin's Festival,"Comedy,Romance",2020,PG-13,1h 28m,Woody Allen,Michael Garvey,"Wallace Shawn,Michael Garvey,Damian Chapa","October 2, 2020 (Spain)",Orange,59,,,https://www.imdb.com/title/tt8593904/?ref_=adv_li_tt
The Rhythm Section,"Action,Drama,Mystery",2020,R,1h 49m,Reed Morano,Richard Brake,"Blake Lively,Richard Brake,Elly Curtis","January 31, 2020 (United States)",TMP Films,442,,,https://www.imdb.com/title/tt7134096/?ref_=adv_li_tt
