title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
Das schwarze Los,Drama,1913,,,John Gottowt,,"Alexander Moissi,Paul Biensfeldt,Emil Albes","September 1, 1917 (Hungary)",,,,,https://www.imdb.com/title/tt0339636/?ref_=adv_li_tt
Havsgamar,"Crime,Drama",1915,,,Victor Sjöström,,"Richard Lund,Rasmus Rasmussen,Greta Almroth",January 1915 (United States),,1,,,https://www.imdb.com/title/tt0006761/?ref_=adv_li_tt
Het geheim van Delft,Drama,1917,,,Maurits Binger,,,"March 9, 1917 (Netherlands)",,1,,,https://www.imdb.com/title/tt0007992/?ref_=adv_li_tt
Nurse Marjorie,"Drama,Comedy",1920,Approved,1h 28m,William Desmond Taylor,,"Mary Miles Minter,Clyde Fillmore,George Periolat","April 4, 1920 (United States)",,5,,,https://www.imdb.com/title/tt0011522/?ref_=adv_li_tt
The American Beauty,Drama,1916,,,William Desmond Taylor,,"Myrtle Stedman,Elliott Dexter,Howard Davies","June 29, 1916 (United States)",,,,,https://www.imdb.com/title/tt0006358/?ref_=adv_li_tt
The Common Law,"Drama,Romance",1916,Passed,1h 10m,Albert Capellani,,"Clara Kimball Young,Conway Tearle,Paul Capellani","October 15, 1916 (United States)",,1,,,https://www.imdb.com/title/tt0006541/?ref_=adv_li_tt
The Vicar of Wakefield,Drama,1916,,,Fred Paul,,"John Hare,Laura Cowie,Ben Webster","February 12, 1917 (United Kingdom)",,,,,https://www.imdb.com/title/tt0153527/?ref_=adv_li_tt
The Mints of Hell,Drama,1919,,,Park Frame,,"William Desmond,Vivian Rich,Edward Jobson","May 5, 1919 (United States)",,,,,https://www.imdb.com/title/tt0010465/?ref_=adv_li_tt
The Dream Girl,Drama,1916,,,Cecil B. DeMille,,"Mae Murray,Theodore Roberts,Earle Foxe","July 17, 1916 (United States)",,1,,,https://www.imdb.com/title/tt0006605/?ref_=adv_li_tt
Scratch My Back,Comedy,1920,Approved,1h,Sidney Olcott,,"T. Roy Barnes,Lloyd Whitlock,Helene Chadwick","June 19, 1920 (United States)",,,,,https://www.imdb.com/title/tt0011666/?ref_=adv_li_tt
The Branding Iron,Drama,1920,,,Reginald Barker,,"Barbara Castleton,James Kirkwood,Russell Simpson",November 1920 (United States),,,,,https://www.imdb.com/title/tt0011021/?ref_=adv_li_tt
An Adventure in Hearts,Adventure,1919,Passed,50m,James Cruze,,"Robert Warwick,Juan de la Cruz,Winifred Greenwood","December 7, 1919 (United States)",,,,,https://www.imdb.com/title/tt0009861/?ref_=adv_li_tt
Her Secret,Drama,1917,,,Perry N. Vekroff,,"Alice Joyce,Harry T. Morey,Robert Kelly","April 30, 1917 (United States)",,,,,https://www.imdb.com/title/tt0175727/?ref_=adv_li_tt
When Do We Eat?,"Comedy,Drama",1918,,,Fred Niblo,,"Enid Bennett,Albert Ray,Gertrude Claire","October 13, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009789/?ref_=adv_li_tt
Robin Hood,Adventure,1913,,,Theodore Marston,,"William Russell,Gerda Holmes,Harry Benham","September 23, 1913 (United States)",,,,,https://www.imdb.com/title/tt0003337/?ref_=adv_li_tt
The Forbidden Path,"Crime,Drama,Romance",1918,Passed,1h,J. Gordon Edwards,,"Theda Bara,Hugh Thompson,Sidney Mason","February 3, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009087/?ref_=adv_li_tt
Arsene Lupin,"Crime,Drama,Mystery",1917,,,Paul Scardon,,"Earle Williams,Brinsley Shaw,Henry Leone","March 12, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0167005/?ref_=adv_li_tt
King Lear,Drama,1916,Not Rated,1h 3m,Ernest C. Warde,,"Frederick Warde,Lorraine Huling,Wayne Arey","December 17, 1916 (United States)",,3,,,https://www.imdb.com/title/tt0006895/?ref_=adv_li_tt
Black Orchids,"Drama,Horror",1917,,,Rex Ingram,,"Cleo Madison,Dick La Reno,Francis McDonald","January 1, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0006434/?ref_=adv_li_tt
"Eine Nacht, gelebt im Paradiese",Comedy,1919,,,Eugen Burg,,"Hans Ahrens,Else Bäck,Rudolph Döll","August 8, 1919 (Germany)",,,,,https://www.imdb.com/title/tt8292522/?ref_=adv_li_tt
The Black Circle,Drama,1919,,,Frank Reicher,,"Creighton Hale,Virginia Valli,Jack Drumier","October 20, 1919 (United States)",,,,,https://www.imdb.com/title/tt0009934/?ref_=adv_li_tt
A Place in the Sun,Drama,1916,,,Laurence Trimble,,"Reginald Owen,Marguerite Blanche,Malcolm Cherry","May 4, 1919 (United States)",,,,,https://www.imdb.com/title/tt0338346/?ref_=adv_li_tt
The Land of Promise,Drama,1917,,,Joseph Kaufman,,"Billie Burke,Thomas Meighan,Helen Tracy","December 9, 1917 (United States)",,,,,https://www.imdb.com/title/tt0008169/?ref_=adv_li_tt
Die im Schatten leben,,1917,,,Richard Eichberg,,"Ellen Richter,Andreas Van Horn,Kurt Busch","August 12, 1917 (Germany)",,,,,https://www.imdb.com/title/tt0273174/?ref_=adv_li_tt
Júlia kisasszony,,1919,,,Károly Lajthay,,"Gizi Bajor,Zsuzsi Balla,Gyula Csortos",,,,,,https://www.imdb.com/title/tt0240643/?ref_=adv_li_tt
Il campanaro della cattedrale,,1920,,,Adriano Giovannetti,,,March 1920 (Italy),,,,,https://www.imdb.com/title/tt0929411/?ref_=adv_li_tt
The Secret Man,Western,1917,G,50m,John Ford,,"Harry Carey,Edythe Sterling,J. Morris Foster","October 1, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0008551/?ref_=adv_li_tt
The Third Generation,Drama,1920,,,Henry Kolker,,"Betty Blythe,Mahlon Hamilton,Jack Pratt",January 1920 (United States),,,,,https://www.imdb.com/title/tt0011762/?ref_=adv_li_tt
A Romance of the Air,"Adventure,Romance",1918,,,Franklin B. Coates,,"Bert Hall,Edith Day,Florence Billings","November 10, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009561/?ref_=adv_li_tt
The Romance of Elaine,Adventure,1915,,,George B. Seitz,,"Pearl White,Creighton Hale,Lionel Barrymore","June 14, 1915 (United States)",,,,,https://www.imdb.com/title/tt0005974/?ref_=adv_li_tt
"The Chosen Prince, or the Friendship of David and Jonathan",Drama,1917,,,William V. Mong,,"Edward Alexander,Charles Perley,Noah Beery","July 25, 1917 (United States)",,,,,https://www.imdb.com/title/tt0168581/?ref_=adv_li_tt
Passion's Playground,Drama,1920,,,J.A. Barry,,"Katherine MacDonald,Norman Kerry,Nell Craig",April 1920 (United States),,2,,,https://www.imdb.com/title/tt0145958/?ref_=adv_li_tt
Il re delle banane,Comedy,1920,,,Polidor,,,September 1920 (Italy),,,,,https://www.imdb.com/title/tt1175082/?ref_=adv_li_tt
The Fair Barbarian,"Comedy,Romance",1917,,,Robert Thornby,,"Vivian Martin,Clarence Geldert,Douglas MacLean","December 17, 1917 (United States)",,,,,https://www.imdb.com/title/tt0007926/?ref_=adv_li_tt
Envar sin egen lyckas smed,,1916,,,Egil Eide,,"Greta Almroth,Egil Eide,Edith Erastoff","December 10, 1917 (Denmark)",,,,,https://www.imdb.com/title/tt0007894/?ref_=adv_li_tt
A Cigarette-Maker's Romance,Drama,1913,,,Frank Wilson,,,September 1913 (United Kingdom),,,,,https://www.imdb.com/title/tt1185641/?ref_=adv_li_tt
A Virtuous Vamp,"Comedy,Romance",1919,,,David Kirkland,,"Constance Talmadge,Belle Daube,Jack Kane","November 16, 1919 (United States)",,1,,,https://www.imdb.com/title/tt0010849/?ref_=adv_li_tt
A Corner in Colleens,"Comedy,Drama",1916,,,Charles Miller,,"Bessie Barriscale,Charles Ray,Margery Wilson","November 5, 1916 (United States)",,1,,,https://www.imdb.com/title/tt0157484/?ref_=adv_li_tt
The Foundling,Drama,1915,,,John B. O'Brien,,"Mary Pickford,Edward Martindel,Maggie Weston",August 1915 (United States),,2,,,https://www.imdb.com/title/tt0005352/?ref_=adv_li_tt
La gola,,1918,,,Camillo De Riso,,"Francesca Bertini,Livio Pavanelli,Camillo De Riso",June 1918 (Italy),,,,,https://www.imdb.com/title/tt0178513/?ref_=adv_li_tt
The Love Burglar,"Crime,Romance,Drama",1919,,,James Cruze,,"Wallace Reid,Anna Q. Nilsson,Raymond Hatton","July 13, 1919 (United States)",,2,,,https://www.imdb.com/title/tt0010393/?ref_=adv_li_tt
